,Country,Region_x,Happiness_Rank_15,Happiness_Score_15,Economy_15,Family_15,Life_Expectancy_15,Freedom_15,Trust_15,Generosity_15,Dystopia_15,Region_y,Happiness_Rank_16,Happiness_Score_16,Economy_16,Family_16,Life_Expectancy_16,Freedom_16,Trust_16,Generosity_16,Dystopia_16,Region,Happiness_Rank_17,Happiness_Score_17,Economy_17,Family_17,Life_Expectancy_17,Freedom_17,Generosity_17,Trust_17,Dystopia_17
91,Nepal,Southern Asia,121,4.513999999999999,0.35996999999999996,0.86449,0.5687399999999999,0.38282,0.059070000000000004,0.32295999999999997,1.9563700000000002,Southern Asia,107,4.793,0.44626000000000005,0.69699,0.50073,0.37012,0.07007999999999999,0.3816,2.32694,Southern Asia,99,4.961999893,0.47982019200000003,1.179283261,0.504130781,0.44030594799999995,0.394096166,0.072975546,1.891241074
92,Netherlands,Western Europe,7,7.377999999999999,1.32944,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,2.4657,Western Europe,7,7.3389999999999995,1.46468,1.02912,0.8123100000000001,0.55211,0.29927,0.47416,2.70749,Western Europe,6,7.376999855,1.503944635,1.4289392230000002,0.810696125,0.585384488,0.47048983,0.282661825,2.294804096
93,New Zealand,Australia and New Zealand,9,7.2860000000000005,1.2501799999999998,1.3196700000000001,0.9083700000000001,0.6393800000000001,0.42922,0.47501000000000004,2.26425,Australia and New Zealand,8,7.334,1.36066,1.17278,0.83096,0.5814699999999999,0.41903999999999997,0.49401000000000006,2.47553,Australia and New Zealand,8,7.31400013,1.405706048,1.548195124,0.8167597059999999,0.61406213,0.500005126,0.382816702,2.046456337
94,Nicaragua,Latin America and Caribbean,57,5.827999999999999,0.59325,1.14184,0.7431399999999999,0.55475,0.19317,0.27815,2.32407,Latin America and Caribbean,48,5.992000000000001,0.69384,0.8952100000000001,0.65213,0.46581999999999996,0.16292,0.29773,2.82428,Latin America and Caribbean,43,6.071000099,0.737299204,1.28721571,0.653095961,0.447551847,0.30167421699999997,0.13068798199999998,2.513930559
95,Niger,Sub-Saharan Africa,144,3.845,0.0694,0.77265,0.29707,0.47691999999999996,0.15639,0.19387000000000001,1.87877,Sub-Saharan Africa,142,3.8560000000000003,0.1327,0.6053,0.26161999999999996,0.38040999999999997,0.17176,0.2097,2.09469,Sub-Saharan Africa,135,4.027999878,0.161925331,0.993025005,0.268505007,0.363658696,0.22867384600000001,0.138572946,1.8739833830000001
96,Nigeria,Sub-Saharan Africa,78,5.268,0.65435,0.9043200000000001,0.16007000000000002,0.34334000000000003,0.0403,0.27233,2.89319,Sub-Saharan Africa,103,4.875,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2.8858599999999996,Sub-Saharan Africa,95,5.073999882,0.783756256,1.215770483,0.05691573,0.394952565,0.23094719600000002,0.026121566000000002,2.365390539
97,North Cyprus,Western Europe,66,5.695,1.2080600000000001,1.07008,0.92356,0.49027,0.1428,0.26169000000000003,1.5988799999999999,Western Europe,62,5.771,1.31141,0.81826,0.8414200000000001,0.43596,0.16577999999999998,0.26322,1.9344700000000001,Western Europe,61,5.809999942999999,1.346911311,1.186303377,0.834647238,0.471203625,0.266845703,0.155353352,1.549157619
98,Norway,Western Europe,4,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.4653099999999997,Western Europe,4,7.497999999999999,1.57744,1.1269,0.79579,0.59609,0.35775999999999997,0.37895,2.66465,Western Europe,1,7.537000179,1.616463184,1.53352356,0.796666503,0.635422587,0.362012237,0.315963835,2.277026653
99,Pakistan,Southern Asia,81,5.194,0.59543,0.41411000000000003,0.51466,0.12102,0.10464000000000001,0.33671,3.1070900000000004,Southern Asia,92,5.132000000000001,0.68816,0.26135,0.40306,0.14622000000000002,0.1388,0.31185,3.18286,Southern Asia,80,5.269000053,0.7268835309999999,0.67269069,0.402047783,0.23521526199999998,0.31544601899999997,0.12434806699999999,2.79248929
100,Palestinian Territories,Middle East and Northern Africa,108,4.715,0.59867,0.92558,0.66015,0.24499,0.12905,0.11250999999999999,2.0438400000000003,Middle East and Northern Africa,108,4.754,0.67024,0.71629,0.56844,0.17744000000000001,0.10613,0.11154000000000001,2.40364,Middle East and Northern Africa,103,4.775000095,0.716249228,1.1556471590000001,0.565666974,0.254711062,0.114173174,0.08928260199999999,1.878890276
101,Panama,Latin America and Caribbean,25,6.7860000000000005,1.0635299999999999,1.1985,0.79661,0.5421,0.0927,0.24434,2.84848,Latin America and Caribbean,25,6.7010000000000005,1.18306,0.9891200000000001,0.70835,0.48927,0.08423,0.2418,3.00559,Latin America and Caribbean,30,6.452000141,1.233748436,1.373192549,0.706156135,0.550026834,0.210556939,0.070983924,2.307199955
102,Paraguay,Latin America and Caribbean,53,5.877999999999999,0.75985,1.30477,0.66098,0.53899,0.08242000000000001,0.3424,2.18896,Latin America and Caribbean,70,5.537999999999999,0.8937299999999999,1.11111,0.58295,0.46235,0.07396,0.25296,2.16091,Latin America and Caribbean,70,5.493000031,0.932537317,1.50728488,0.579250693,0.47350779200000004,0.224150658,0.09106591300000001,1.68533349
103,Peru,Latin America and Caribbean,58,5.824,0.9001899999999999,0.97459,0.73017,0.41496000000000005,0.05989,0.14982,2.5945,Latin America and Caribbean,64,5.742999999999999,0.9960200000000001,0.81255,0.6299399999999999,0.37501999999999996,0.05292,0.14527,2.73117,Latin America and Caribbean,63,5.715000152999999,1.0352252720000001,1.218770385,0.6301661129999999,0.45000287899999997,0.126819715,0.047049087,2.20726943
104,Philippines,Southeastern Asia,90,5.073,0.70532,1.03516,0.58114,0.62545,0.12279000000000001,0.24991,1.7536,Southeastern Asia,82,5.279,0.81217,0.87877,0.47036000000000006,0.5485399999999999,0.11757000000000001,0.21674000000000002,2.23484,Southeastern Asia,72,5.429999828,0.857699215,1.253917575,0.468009055,0.5852146739999999,0.19351342300000002,0.099331893,1.9726047519999999
105,Poland,Central and Eastern Europe,60,5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759000000000002,1.86565,Central and Eastern Europe,57,5.835,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2.20035,Central and Eastern Europe,46,5.97300005,1.291787863,1.44571197,0.699475348,0.520342112,0.15846596699999999,0.059307806,1.7977228159999998
106,Portugal,Western Europe,88,5.102,1.15991,1.13935,0.8751899999999999,0.51469,0.01078,0.13719,1.26462,Western Europe,94,5.122999999999999,1.27607,0.9436700000000001,0.7936300000000001,0.44727,0.01521,0.11690999999999999,1.53015,Western Europe,89,5.195000172,1.315175295,1.3670430180000002,0.7958435420000001,0.4984653,0.095102713,0.015869452,1.107682705
107,Qatar,Middle East and Northern Africa,28,6.611000000000001,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,1.55674,Middle East and Northern Africa,36,6.375,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,1.5822399999999999,Middle East and Northern Africa,35,6.375,1.870765686,1.27429688,0.710098088,0.604130983,0.33047387,0.439299256,1.14546442
108,Romania,Central and Eastern Europe,86,5.124,1.04345,0.8858799999999999,0.7689,0.35068,0.006490000000000001,0.13748,1.9312900000000002,Central and Eastern Europe,71,5.528,1.1697,0.7280300000000001,0.67602,0.36712,0.006790000000000001,0.12889,2.4518400000000002,Central and Eastern Europe,57,5.8249998089999995,1.217683911,1.15009129,0.685158312,0.45700374200000005,0.13351991800000002,0.004387901,2.176831484
